id,city,country_code,lat,temp,humidity,windspeed,cloudiness
4258313,greenwood,US,39.61,39.49,64,9.17,90
2026861,berdigestyakh,RU,62.1,-1.19,67,8.99,12
1213855,sibolga,ID,1.74,69.46,100,0.94,92
101628,tabuk,SA,28.38,71.6,24,8.05,0
2352110,agbabu,NG,6.59,78.82,82,4.41,12
654363,kankaanpaa,FI,61.8,35.6,92,11.41,92
556268,ostrovnoy,RU,68.05,21.36,88,7.76,64
1630789,pontianak,ID,-0.03,80.13,93,1.5,88
5059429,grand forks,US,47.93,42.87,93,32.21,90
1512019,aksarka,RU,66.56,-0.02,54,2.73,0
6693230,villa santa rita,AR,-34.61,75.65,78,12.75,75
3351663,benguela,AO,-12.58,74.23,100,6.42,24
2071860,esperance,AU,-33.87,50.29,81,4.52,32
64013,boosaaso,SO,11.28,80.94,100,9.1,0
3374333,praia,CV,14.92,84.2,54,19.46,0
2374583,bubaque,GW,11.28,84.2,79,4.7,20
5117949,freeport,US,40.66,64.99,88,19.46,90
2455290,kidal,ML,18.44,64.69,30,8.77,0
2508737,aflou,DZ,34.11,47.64,80,3.18,0
3370147,belhar,ZA,-33.94,69.8,60,20.8,0
609906,fort-shevchenko,KZ,44.51,54.43,99,11.45,0
2463763,agios matthaios,GR,39.5,55.4,82,2.24,40
108410,riyadh,SA,24.69,71.6,21,2.24,0
359792,aswan,EG,24.09,71.6,35,6.93,0
566157,divnomorskoye,RU,44.5,55.24,100,11.45,92
2240449,luanda,AO,-8.84,78.8,83,9.17,75
5377389,north fair oaks,US,37.47,59.79,82,4.7,40
3433910,floresta,AR,-34.63,75.65,78,12.75,75
1715169,del pilar,PH,15.03,78.8,78,5.82,75
7522531,testing,EG,30.12,75.2,38,5.82,0
483379,teriberka,RU,69.16,32.34,100,2.95,92
1634614,nabire,ID,-3.37,67.12,94,2.28,36
336454,ginir,ET,7.13,54.39,86,2.06,64
566532,derbent,RU,42.07,54.79,51,5.53,0
751952,ardahan,TR,41.11,44.6,75,5.82,75
4684888,dallas,US,32.78,76.41,14,14.99,1
1056151,soavinandriana,MG,-19.17,60.96,74,8.55,8
579838,babynino,RU,54.39,39.54,93,12.35,92
7671049,northern province,LK,9.17,74.95,100,2.73,92
505269,primorsk,RU,60.37,35.98,100,6.42,92
877153,kosheshe,NA,-17.68,68.2,67,14.03,92
131965,hārom,IR,28.91,53.6,34,2.51,0
737022,zonguldak,TR,41.45,51.33,100,10.56,80
4966992,hermon,US,44.81,59.56,63,10.29,90
528248,mayskiy,RU,43.64,42.91,85,4.74,24
527321,mezen,RU,65.85,26.08,81,5.75,76
3044669,szentgotthard,HU,46.95,48.2,45,3.36,75
5767686,onida,US,44.71,51.8,53,23.04,90
1648186,bontang,ID,0.13,79.27,100,2.51,24
1260793,palakkodu,IN,12.3,65.05,90,5.97,0
2023029,kazachinskoye,RU,56.27,13.08,67,3.29,0
498696,sarany,RU,58.5,24.06,98,7.43,92
241131,victoria,SC,-4.62,80.6,83,4.7,75
1269323,jammalamadugu,IN,14.83,70.23,85,3.62,8
2456917,goundam,ML,16.41,71.76,30,9.66,0
613125,makhinjauri,GE,41.67,60.8,77,6.93,40
1651531,ambon,ID,-3.7,73.4,83,2.24,40
1337620,funadhoo,MV,6.15,82.96,100,11.01,92
1276955,patamda,IN,24.3,60.51,95,2.73,0
1707174,las pinas,PH,14.45,78.8,100,2.24,40
3165524,torino,IT,45.07,49.55,53,4.7,0
1016666,botswana,ZA,-24.33,48.76,94,1.95,8
1526038,atbasar,KZ,51.8,21.94,71,4.52,0
6145425,shaunavon,CA,49.65,37.29,51,25.77,88
633679,turku,FI,60.45,33.8,96,9.17,80
485699,svetlogorsk,RU,54.94,42.8,75,22.37,75
3385077,conde,BR,-7.26,78.8,83,10.29,75
